,path1,path2,lch,tree1,tree2,matriz,path_sim,LCh,wup,normalizada,levenstein
10,"{Synset('bull.n.01'): 0, Synset('cattle.n.01'): 1, Synset('bovine.n.01'): 2, Synset('bovid.n.01'): 3, Synset('ruminant.n.01'): 4, Synset('even-toed_ungulate.n.01'): 5, Synset('ungulate.n.01'): 6, Synset('placental.n.01'): 7, Synset('mammal.n.01'): 8, Synset('vertebrate.n.01'): 9, Synset('chordate.n.01'): 10, Synset('animal.n.01'): 11, Synset('organism.n.01'): 12, Synset('living_thing.n.01'): 13, Synset('whole.n.02'): 14, Synset('object.n.01'): 15, Synset('physical_entity.n.01'): 16, Synset('entity.n.01'): 17, Synset('*ROOT*'): 18}","{Synset('cow.n.01'): 0, Synset('cattle.n.01'): 1, Synset('bovine.n.01'): 2, Synset('bovid.n.01'): 3, Synset('ruminant.n.01'): 4, Synset('even-toed_ungulate.n.01'): 5, Synset('ungulate.n.01'): 6, Synset('placental.n.01'): 7, Synset('mammal.n.01'): 8, Synset('vertebrate.n.01'): 9, Synset('chordate.n.01'): 10, Synset('animal.n.01'): 11, Synset('organism.n.01'): 12, Synset('living_thing.n.01'): 13, Synset('whole.n.02'): 14, Synset('object.n.01'): 15, Synset('physical_entity.n.01'): 16, Synset('entity.n.01'): 17, Synset('*ROOT*'): 18}",Synset('cattle.n.01'),"[Synset('bull.n.01'), Synset('cattle.n.01')]","[Synset('cow.n.01'), Synset('cattle.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 2}, 2: {0: 2, 1: 2, 2: 1}}",0.3333333333333333,2.538973871058276,0.9444444444444444,0.9473684210526316,1
11,"{Synset('grass.n.01'): 0, Synset('gramineous_plant.n.01'): 1, Synset('herb.n.01'): 2, Synset('vascular_plant.n.01'): 3, Synset('plant.n.02'): 4, Synset('organism.n.01'): 5, Synset('living_thing.n.01'): 6, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('physical_entity.n.01'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}","{Synset('oak.n.02'): 0, Synset('tree.n.01'): 1, Synset('woody_plant.n.01'): 2, Synset('vascular_plant.n.01'): 3, Synset('plant.n.02'): 4, Synset('organism.n.01'): 5, Synset('living_thing.n.01'): 6, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('physical_entity.n.01'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}",Synset('vascular_plant.n.01'),"[Synset('grass.n.01'), Synset('gramineous_plant.n.01'), Synset('herb.n.01'), Synset('vascular_plant.n.01')]","[Synset('oak.n.02'), Synset('tree.n.01'), Synset('woody_plant.n.01'), Synset('vascular_plant.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 3}}",0.14285714285714285,1.6916760106710724,0.7272727272727273,0.75,3
12,"{Synset('oat.n.01'): 0, Synset('cereal.n.01'): 1, Synset('grass.n.01'): 2, Synset('gramineous_plant.n.01'): 3, Synset('herb.n.01'): 4, Synset('vascular_plant.n.01'): 5, Synset('plant.n.02'): 6, Synset('organism.n.01'): 7, Synset('living_thing.n.01'): 8, Synset('whole.n.02'): 9, Synset('object.n.01'): 10, Synset('physical_entity.n.01'): 11, Synset('entity.n.01'): 12, Synset('*ROOT*'): 13}","{Synset('rice.n.02'): 0, Synset('cereal.n.01'): 1, Synset('grass.n.01'): 2, Synset('gramineous_plant.n.01'): 3, Synset('herb.n.01'): 4, Synset('vascular_plant.n.01'): 5, Synset('plant.n.02'): 6, Synset('organism.n.01'): 7, Synset('living_thing.n.01'): 8, Synset('whole.n.02'): 9, Synset('object.n.01'): 10, Synset('physical_entity.n.01'): 11, Synset('entity.n.01'): 12, Synset('*ROOT*'): 13}",Synset('cereal.n.01'),"[Synset('oat.n.01'), Synset('cereal.n.01')]","[Synset('rice.n.02'), Synset('cereal.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 2}, 2: {0: 2, 1: 2, 2: 1}}",0.3333333333333333,2.538973871058276,0.9230769230769231,0.9285714285714286,1
13,"{Synset('girl.n.01'): 0, Synset('woman.n.01'): 1, Synset('adult.n.01'): 2, Synset('female.n.02'): 2, Synset('person.n.01'): 3, Synset('causal_agent.n.01'): 4, Synset('organism.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('living_thing.n.01'): 5, Synset('entity.n.01'): 6, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('*ROOT*'): 8}","{Synset('boy.n.02'): 0, Synset('man.n.01'): 1, Synset('adult.n.01'): 2, Synset('male.n.02'): 2, Synset('person.n.01'): 3, Synset('causal_agent.n.01'): 4, Synset('organism.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('living_thing.n.01'): 5, Synset('entity.n.01'): 6, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('*ROOT*'): 8}",Synset('adult.n.01'),"[Synset('girl.n.01'), Synset('woman.n.01'), Synset('adult.n.01')]","[Synset('boy.n.02'), Synset('man.n.01'), Synset('adult.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3}, 1: {0: 1, 1: 1, 2: 2, 3: 3}, 2: {0: 2, 1: 2, 2: 2, 3: 3}, 3: {0: 3, 1: 3, 2: 3, 3: 2}}",0.2,2.0281482472922856,0.6,0.8461538461538461,2
14,"{Synset('professor.n.01'): 0, Synset('academician.n.03'): 1, Synset('educator.n.01'): 2, Synset('professional.n.01'): 3, Synset('adult.n.01'): 4, Synset('person.n.01'): 5, Synset('causal_agent.n.01'): 6, Synset('organism.n.01'): 6, Synset('physical_entity.n.01'): 7, Synset('living_thing.n.01'): 7, Synset('entity.n.01'): 8, Synset('whole.n.02'): 8, Synset('object.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('student.n.01'): 0, Synset('enrollee.n.01'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}",Synset('person.n.01'),"[Synset('professor.n.01'), Synset('academician.n.03'), Synset('educator.n.01'), Synset('professional.n.01'), Synset('adult.n.01'), Synset('person.n.01')]","[Synset('student.n.01'), Synset('enrollee.n.01'), Synset('person.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3}, 1: {0: 1, 1: 1, 2: 2, 3: 3}, 2: {0: 2, 1: 2, 2: 2, 3: 3}, 3: {0: 3, 1: 3, 2: 3, 3: 3}, 4: {0: 4, 1: 4, 2: 4, 3: 4}, 5: {0: 5, 1: 5, 2: 5, 3: 5}, 6: {0: 6, 1: 6, 2: 6, 3: 5}}",0.125,1.55814461804655,0.5714285714285714,0.6428571428571428,5
15,"{Synset('cat.n.01'): 0, Synset('feline.n.01'): 1, Synset('carnivore.n.01'): 2, Synset('placental.n.01'): 3, Synset('mammal.n.01'): 4, Synset('vertebrate.n.01'): 5, Synset('chordate.n.01'): 6, Synset('animal.n.01'): 7, Synset('organism.n.01'): 8, Synset('living_thing.n.01'): 9, Synset('whole.n.02'): 10, Synset('object.n.01'): 11, Synset('physical_entity.n.01'): 12, Synset('entity.n.01'): 13, Synset('*ROOT*'): 14}","{Synset('dog.n.01'): 0, Synset('canine.n.02'): 1, Synset('domestic_animal.n.01'): 1, Synset('carnivore.n.01'): 2, Synset('animal.n.01'): 2, Synset('placental.n.01'): 3, Synset('organism.n.01'): 3, Synset('mammal.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('vertebrate.n.01'): 5, Synset('whole.n.02'): 5, Synset('chordate.n.01'): 6, Synset('object.n.01'): 6, Synset('physical_entity.n.01'): 7, Synset('entity.n.01'): 8, Synset('*ROOT*'): 9}",Synset('carnivore.n.01'),"[Synset('cat.n.01'), Synset('feline.n.01'), Synset('carnivore.n.01')]","[Synset('dog.n.01'), Synset('canine.n.02'), Synset('domestic_animal.n.01'), Synset('carnivore.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 3}}",0.2,2.0281482472922856,0.8571428571428571,0.8125,3
16,"{Synset('cancer.n.02'): 0, Synset('person.n.01'): 1, Synset('causal_agent.n.01'): 2, Synset('organism.n.01'): 2, Synset('physical_entity.n.01'): 3, Synset('living_thing.n.01'): 3, Synset('entity.n.01'): 4, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('leo.n.01'): 0, Synset('person.n.01'): 1, Synset('causal_agent.n.01'): 2, Synset('organism.n.01'): 2, Synset('physical_entity.n.01'): 3, Synset('living_thing.n.01'): 3, Synset('entity.n.01'): 4, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('*ROOT*'): 6}",Synset('person.n.01'),"[Synset('cancer.n.02'), Synset('person.n.01')]","[Synset('leo.n.01'), Synset('person.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 2}, 2: {0: 2, 1: 2, 2: 1}}",0.3333333333333333,2.538973871058276,0.75,0.9,1
17,"{Synset('cancer.n.01'): 0, Synset('malignant_tumor.n.01'): 1, Synset('malignancy.n.01'): 2, Synset('tumor.n.01'): 2, Synset('disease.n.01'): 3, Synset('growth.n.06'): 3, Synset('illness.n.01'): 4, Synset('ill_health.n.01'): 5, Synset('pathological_state.n.01'): 6, Synset('physical_condition.n.01'): 7, Synset('condition.n.01'): 8, Synset('state.n.02'): 9, Synset('attribute.n.02'): 10, Synset('abstraction.n.06'): 11, Synset('entity.n.01'): 12, Synset('*ROOT*'): 13}","{Synset('disease.n.01'): 0, Synset('illness.n.01'): 1, Synset('ill_health.n.01'): 2, Synset('pathological_state.n.01'): 3, Synset('physical_condition.n.01'): 4, Synset('condition.n.01'): 5, Synset('state.n.02'): 6, Synset('attribute.n.02'): 7, Synset('abstraction.n.06'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}",Synset('disease.n.01'),"[Synset('cancer.n.01'), Synset('malignant_tumor.n.01'), Synset('malignancy.n.01'), Synset('tumor.n.01'), Synset('disease.n.01')]",[Synset('disease.n.01')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 1}, 2: {0: 2, 1: 2}, 3: {0: 3, 1: 3}, 4: {0: 4, 1: 4}, 5: {0: 5, 1: 4}}",0.25,2.2512917986064953,0.8695652173913043,0.75,4
18,"{Synset('cancer.n.03'): 0, Synset('constellation.n.02'): 1, Synset('natural_object.n.01'): 2, Synset('whole.n.02'): 3, Synset('object.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('constellation.n.02'): 0, Synset('natural_object.n.01'): 1, Synset('whole.n.02'): 2, Synset('object.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('entity.n.01'): 5, Synset('*ROOT*'): 6}",Synset('constellation.n.02'),"[Synset('cancer.n.03'), Synset('constellation.n.02')]",[Synset('constellation.n.02')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 1}, 2: {0: 2, 1: 1}}",0.5,2.9444389791664407,0.9230769230769231,0.875,1
19,"{Synset('fish.n.02'): 0, Synset('food.n.02'): 1, Synset('solid.n.01'): 2, Synset('matter.n.03'): 3, Synset('physical_entity.n.01'): 4, Synset('entity.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('bird.n.02'): 0, Synset('meat.n.01'): 1, Synset('food.n.02'): 2, Synset('solid.n.01'): 3, Synset('matter.n.03'): 4, Synset('physical_entity.n.01'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('food.n.02'),"[Synset('fish.n.02'), Synset('food.n.02')]","[Synset('bird.n.02'), Synset('meat.n.01'), Synset('food.n.02')]","{0: {0: 0, 1: 1, 2: 2, 3: 3}, 1: {0: 1, 1: 1, 2: 2, 3: 3}, 2: {0: 2, 1: 2, 2: 2, 3: 2}}",0.25,2.2512917986064953,0.7692307692307693,0.75,2
20,"{Synset('canary.n.04'): 0, Synset('finch.n.01'): 1, Synset('oscine.n.01'): 2, Synset('passerine.n.01'): 3, Synset('bird.n.01'): 4, Synset('vertebrate.n.01'): 5, Synset('chordate.n.01'): 6, Synset('animal.n.01'): 7, Synset('organism.n.01'): 8, Synset('living_thing.n.01'): 9, Synset('whole.n.02'): 10, Synset('object.n.01'): 11, Synset('physical_entity.n.01'): 12, Synset('entity.n.01'): 13, Synset('*ROOT*'): 14}","{Synset('eagle.n.01'): 0, Synset('bird_of_prey.n.01'): 1, Synset('bird.n.01'): 2, Synset('vertebrate.n.01'): 3, Synset('chordate.n.01'): 4, Synset('animal.n.01'): 5, Synset('organism.n.01'): 6, Synset('living_thing.n.01'): 7, Synset('whole.n.02'): 8, Synset('object.n.01'): 9, Synset('physical_entity.n.01'): 10, Synset('entity.n.01'): 11, Synset('*ROOT*'): 12}",Synset('bird.n.01'),"[Synset('canary.n.04'), Synset('finch.n.01'), Synset('oscine.n.01'), Synset('passerine.n.01'), Synset('bird.n.01')]","[Synset('eagle.n.01'), Synset('bird_of_prey.n.01'), Synset('bird.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3}, 1: {0: 1, 1: 1, 2: 2, 3: 3}, 2: {0: 2, 1: 2, 2: 2, 3: 3}, 3: {0: 3, 1: 3, 2: 3, 3: 3}, 4: {0: 4, 1: 4, 2: 4, 3: 4}, 5: {0: 5, 1: 5, 2: 5, 3: 4}}",0.14285714285714285,1.6916760106710724,0.7692307692307693,0.7333333333333334,4
21,"{Synset('school.n.02'): 0, Synset('building.n.01'): 1, Synset('structure.n.01'): 2, Synset('artifact.n.01'): 3, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('physical_entity.n.01'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}","{Synset('classroom.n.01'): 0, Synset('room.n.01'): 1, Synset('area.n.05'): 2, Synset('structure.n.01'): 3, Synset('artifact.n.01'): 4, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('physical_entity.n.01'): 7, Synset('entity.n.01'): 8, Synset('*ROOT*'): 9}",Synset('structure.n.01'),"[Synset('school.n.02'), Synset('building.n.01'), Synset('structure.n.01')]","[Synset('classroom.n.01'), Synset('room.n.01'), Synset('area.n.05'), Synset('structure.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 3}}",0.16666666666666666,1.845826690498331,0.7058823529411765,0.7,3
22,"{Synset('money.n.01'): 0, Synset('medium_of_exchange.n.01'): 1, Synset('standard.n.01'): 2, Synset('system_of_measurement.n.01'): 3, Synset('measure.n.02'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('dollar.n.02'): 0, Synset('bill.n.03'): 1, Synset('paper_money.n.01'): 2, Synset('currency.n.01'): 3, Synset('medium_of_exchange.n.01'): 4, Synset('standard.n.01'): 5, Synset('system_of_measurement.n.01'): 6, Synset('measure.n.02'): 7, Synset('abstraction.n.06'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}",Synset('medium_of_exchange.n.01'),"[Synset('money.n.01'), Synset('medium_of_exchange.n.01')]","[Synset('dollar.n.02'), Synset('bill.n.03'), Synset('paper_money.n.01'), Synset('currency.n.01'), Synset('medium_of_exchange.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 4}}",0.16666666666666666,1.845826690498331,0.7058823529411765,0.6363636363636364,4
23,"{Synset('architecture.n.02'): 0, Synset('discipline.n.01'): 1, Synset('fine_arts.n.01'): 1, Synset('knowledge_domain.n.01'): 2, Synset('humanistic_discipline.n.01'): 2, Synset('content.n.05'): 3, Synset('cognition.n.01'): 4, Synset('psychological_feature.n.01'): 5, Synset('abstraction.n.06'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}","{Synset('engineering.n.02'): 0, Synset('discipline.n.01'): 1, Synset('knowledge_domain.n.01'): 2, Synset('content.n.05'): 3, Synset('cognition.n.01'): 4, Synset('psychological_feature.n.01'): 5, Synset('abstraction.n.06'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}",Synset('discipline.n.01'),"[Synset('architecture.n.02'), Synset('discipline.n.01')]","[Synset('engineering.n.02'), Synset('discipline.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 2}, 2: {0: 2, 1: 2, 2: 1}}",0.3333333333333333,2.538973871058276,0.875,0.9090909090909091,1
24,"{Synset('mouse.n.03'): 0, Synset('person.n.01'): 1, Synset('causal_agent.n.01'): 2, Synset('organism.n.01'): 2, Synset('physical_entity.n.01'): 3, Synset('living_thing.n.01'): 3, Synset('entity.n.01'): 4, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('calculator.n.01'): 0, Synset('expert.n.01'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}",Synset('person.n.01'),"[Synset('mouse.n.03'), Synset('person.n.01')]","[Synset('calculator.n.01'), Synset('expert.n.01'), Synset('person.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3}, 1: {0: 1, 1: 1, 2: 2, 3: 3}, 2: {0: 2, 1: 2, 2: 2, 3: 2}}",0.25,2.2512917986064953,0.7058823529411765,0.8181818181818181,2
